AVERAGE RESULTS


TRANSACTION COUNT RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| transaction_count                   | 34.51                | 34.99 (+1.37%)       | 34.61 (+0.26%)       |
------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
------------------------------------------------------------------------------------------------------------
| contract_name                       | blackbox             | greybox              | directed_greybox     |
------------------------------------------------------------------------------------------------------------
| BRANDCOIN.sol                       | 19.95%               | 19.41% (-2.70%)      | 16.17% (-18.92%)     |
| BeatOrgTokenMainSale.sol            | 63.24%               | 73.53% (+16.28%)     | 66.18% (+4.65%)      |
| BetterAuction.sol                   | 53.33%               | 54.00% (+1.25%)      | 56.00% (+5.00%)      |
| BillPokerPreICO.sol                 | 21.91%               | 27.56% (+25.81%)     | 28.62% (+30.65%)     |
| Billiontix.sol                      | N/A                  | N/A                  | N/A                  |
| BitGallery.sol                      | 8.45%                | 9.28% (+9.76%)       | 8.87% (+4.88%)       |
| BitkomSale.sol                      | 29.04%               | 27.21% (-6.33%)      | 33.09% (+13.92%)     |
| BizPyramid.sol                      | 29.03%               | 29.44% (+1.39%)      | 29.84% (+2.78%)      |
| BlockFoodPreSale.sol                | 18.25%               | 16.27% (-10.87%)     | 17.86% (-2.17%)      |
| Bounty0xPresale.sol                 | 40.00%               | 43.45% (+8.62%)      | 51.03% (+27.59%)     |
| BriskCoin.sol                       | 30.30%               | 29.29% (-3.33%)      | 35.35% (+16.67%)     |
| BsPresale.sol                       | 17.16%               | 16.25% (-5.33%)      | 17.16% (0.00%)       |
| CTCToken.sol                        | 10.90%               | 12.76% (+17.02%)     | 14.15% (+29.79%)     |
| CTNTokenSale.sol                    | 29.80%               | 35.35% (+18.64%)     | 34.85% (+16.95%)     |
| CTV.sol                             | 12.09%               | 12.50% (+3.39%)      | 11.27% (-6.78%)      |
| Cajutel.sol                         | 20.00%               | 20.00% (0.00%)       | 17.50% (-12.50%)     |
| CandyClaim.sol                      | 27.37%               | 27.37% (0.00%)       | 25.14% (-8.16%)      |
| CandySale.sol                       | 52.89%               | 48.76% (-7.81%)      | 54.55% (+3.12%)      |
| CashPokerProICO.sol                 | 26.86%               | 22.61% (-15.79%)     | 24.03% (-10.53%)     |
| CccTokenIco.sol                     | 15.29%               | 15.90% (+4.00%)      | 14.98% (-2.00%)      |
| ChangeableRateCrowdsale.sol         | 24.68%               | 20.83% (-15.58%)     | 25.00% (+1.30%)      |
| ChrisCoin.sol                       | 24.89%               | 32.75% (+31.58%)     | 29.26% (+17.54%)     |
| ChristmasClub.sol                   | 77.78%               | 74.60% (-4.08%)      | 71.43% (-8.16%)      |
| ChronosCore.sol                     | 18.90%               | 18.90% (0.00%)       | 18.90% (0.00%)       |
| ClaimableCrowdsale.sol              | 28.62%               | 27.92% (-2.47%)      | 22.61% (-20.99%)     |
| CoinCrowdICO.sol                    | 31.92%               | 22.69% (-28.92%)     | 23.08% (-27.71%)     |
| Countdown.sol                       | 46.43%               | 46.43% (0.00%)       | 46.43% (0.00%)       |
| CrowdSaleTRH.sol                    | 54.92%               | 67.21% (+22.39%)     | 54.10% (-1.49%)      |
| CrowdsalePre.sol                    | 29.49%               | 25.00% (-15.22%)     | 27.88% (-5.43%)      |
| CryptoCarsRent.sol                  | 13.78%               | 13.78% (0.00%)       | 13.78% (0.00%)       |
| DEEX.sol                            | 20.53%               | 22.13% (+7.79%)      | 19.47% (-5.19%)      |
| DYLC_ERC20Token.sol                 | 32.72%               | 23.90% (-26.97%)     | 29.04% (-11.24%)     |
| Dividend.sol                        | 73.08%               | 73.08% (0.00%)       | 70.51% (-3.51%)      |
| DropletCrowdSale.sol                | 28.33%               | 23.89% (-15.66%)     | 23.21% (-18.07%)     |
| ECHO.sol                            | 16.03%               | 16.03% (0.00%)       | 13.32% (-16.95%)     |
| ECT2Crowdsale2.sol                  | 65.87%               | 64.29% (-2.41%)      | 65.87% (0.00%)       |
| ElecSaleSmartContract.sol           | 28.46%               | 29.27% (+2.86%)      | 31.30% (+10.00%)     |
| ElectionsMarketSavingsBank.sol      | N/A                  | 5.39% (-105.39%)     | N/A                  |
| EosPizzaSliceDonationraiser.sol     | 20.14%               | 21.22% (+5.36%)      | 20.86% (+3.57%)      |
| EternalWealth.sol                   | 40.00%               | 40.00% (0.00%)       | 40.00% (0.00%)       |
| EthBird.sol                         | 54.10%               | 54.10% (0.00%)       | 54.10% (0.00%)       |
| EthCapsule.sol                      | 36.84%               | 36.84% (0.00%)       | 36.84% (0.00%)       |
| EthTermDeposits.sol                 | 66.67%               | 55.56% (-16.67%)     | 63.89% (-4.17%)      |
| EtherGuess.sol                      | 31.22%               | 24.05% (-22.97%)     | 21.52% (-31.08%)     |
| EthereumHole.sol                    | 47.62%               | 47.62% (0.00%)       | 47.62% (0.00%)       |
| FabricTokenFundraiser.sol           | 19.79%               | 14.13% (-28.57%)     | 18.37% (-7.14%)      |
